Fecha y hora,Demanda sistémica real (Mwh)
2025-10-01 01:00:00,"7,996"
2025-10-01 02:00:00,"7,748"
2025-10-01 03:00:00,"7,645"
2025-10-01 04:00:00,"7,629"
2025-10-01 05:00:00,"7,722"
2025-10-01 06:00:00,"8,279"
2025-10-01 07:00:00,"8,696"
2025-10-01 08:00:00,"8,913"
2025-10-01 09:00:00,"9,162"
2025-10-01 10:00:00,"9,203"
2025-10-01 11:00:00,"9,165"
2025-10-01 12:00:00,"9,125"
2025-10-01 13:00:00,"9,089"
2025-10-01 14:00:00,"9,089"
2025-10-01 15:00:00,"9,031"
2025-10-01 16:00:00,"8,935"
2025-10-01 17:00:00,"8,733"
2025-10-01 18:00:00,"8,720"
2025-10-01 19:00:00,"8,880"
2025-10-01 20:00:00,"9,406"
2025-10-01 21:00:00,"9,374"
2025-10-01 22:00:00,"9,107"
2025-10-01 23:00:00,"8,665"
2025-10-02 00:00:00,"8,176"
2025-10-02 01:00:00,"7,773"
2025-10-02 02:00:00,"7,563"
2025-10-02 03:00:00,"7,410"
2025-10-02 04:00:00,"7,362"
2025-10-02 05:00:00,"7,477"
2025-10-02 06:00:00,"8,020"
2025-10-02 07:00:00,"8,450"
2025-10-02 08:00:00,"8,735"
2025-10-02 09:00:00,"9,038"
2025-10-02 10:00:00,"9,170"
2025-10-02 11:00:00,"9,173"
2025-10-02 12:00:00,"9,149"
2025-10-02 13:00:00,"9,202"
2025-10-02 14:00:00,"9,261"
2025-10-02 15:00:00,"9,224"
2025-10-02 16:00:00,"9,269"
2025-10-02 17:00:00,"9,119"
2025-10-02 18:00:00,"8,956"
2025-10-02 19:00:00,"9,139"
2025-10-02 20:00:00,"9,583"
2025-10-02 21:00:00,"9,471"
2025-10-02 22:00:00,"9,204"
2025-10-02 23:00:00,"8,790"
2025-10-03 00:00:00,"8,375"
2025-10-03 01:00:00,"8,001"
2025-10-03 02:00:00,"7,750"
2025-10-03 03:00:00,"7,638"
2025-10-03 04:00:00,"7,559"
2025-10-03 05:00:00,"7,663"
2025-10-03 06:00:00,"8,174"
2025-10-03 07:00:00,"8,651"
2025-10-03 08:00:00,"9,041"
2025-10-03 09:00:00,"9,367"
2025-10-03 10:00:00,"9,423"
2025-10-03 11:00:00,"9,470"
2025-10-03 12:00:00,"9,497"
2025-10-03 13:00:00,"9,519"
2025-10-03 14:00:00,"9,548"
2025-10-03 15:00:00,"9,505"
2025-10-03 16:00:00,"9,267"
2025-10-03 17:00:00,"8,991"
2025-10-03 18:00:00,"8,923"
2025-10-03 19:00:00,"9,155"
2025-10-03 20:00:00,"9,532"
2025-10-03 21:00:00,"9,442"
2025-10-03 22:00:00,"9,218"
2025-10-03 23:00:00,"8,875"
2025-10-04 00:00:00,"8,444"
2025-10-04 01:00:00,"8,110"
2025-10-04 02:00:00,"7,818"
2025-10-04 03:00:00,"7,638"
2025-10-04 04:00:00,"7,535"
2025-10-04 05:00:00,"7,546"
2025-10-04 06:00:00,"7,646"
2025-10-04 07:00:00,"7,741"
2025-10-04 08:00:00,"8,014"
2025-10-04 09:00:00,"8,459"
2025-10-04 10:00:00,"8,806"
2025-10-04 11:00:00,"8,844"
2025-10-04 12:00:00,"8,850"
2025-10-04 13:00:00,"8,883"
2025-10-04 14:00:00,"8,787"
2025-10-04 15:00:00,"8,607"
2025-10-04 16:00:00,"8,471"
2025-10-04 17:00:00,"8,386"
2025-10-04 18:00:00,"8,348"
2025-10-04 19:00:00,"8,550"
2025-10-04 20:00:00,"8,978"
2025-10-04 21:00:00,"8,926"
2025-10-04 22:00:00,"8,720"
2025-10-04 23:00:00,"8,416"
2025-10-05 00:00:00,"8,006"
2025-10-05 01:00:00,"7,657"
2025-10-05 02:00:00,"7,370"
2025-10-05 03:00:00,"7,202"
2025-10-05 04:00:00,"7,141"
2025-10-05 05:00:00,"7,055"
2025-10-05 06:00:00,"7,108"
2025-10-05 07:00:00,"7,130"
2025-10-05 08:00:00,"7,335"
2025-10-05 09:00:00,"7,805"
2025-10-05 10:00:00,"8,173"
2025-10-05 11:00:00,"8,423"
2025-10-05 12:00:00,"8,568"
2025-10-05 13:00:00,"8,669"
2025-10-05 14:00:00,"8,638"
2025-10-05 15:00:00,"8,439"
2025-10-05 16:00:00,"8,347"
2025-10-05 17:00:00,"8,278"
2025-10-05 18:00:00,"8,347"
2025-10-05 19:00:00,"8,640"
2025-10-05 20:00:00,"9,285"
2025-10-05 21:00:00,"9,376"
2025-10-05 22:00:00,"9,106"
2025-10-05 23:00:00,"8,627"
2025-10-06 00:00:00,"8,184"
2025-10-06 01:00:00,"7,768"
2025-10-06 02:00:00,"7,534"
2025-10-06 03:00:00,"7,420"
2025-10-06 04:00:00,"7,406"
2025-10-06 05:00:00,"7,501"
2025-10-06 06:00:00,"8,136"
