,fecha,dia,hora,SEN
,1/1/2024,1,1,"8,728.29"
,1/1/2024,1,2,"8,670.47"
,1/1/2024,1,3,"8,614.33"
,1/1/2024,1,4,"8,434.84"
,1/1/2024,1,5,"8,293.29"
,1/1/2024,1,6,"8,192.68"
,1/1/2024,1,7,"8,085.42"
,1/1/2024,1,8,"7,792.42"
,1/1/2024,1,9,"7,877.92"
,1/1/2024,1,10,"7,995.08"
,1/1/2024,1,11,"8,273.61"
,1/1/2024,1,12,"8,441.82"
,1/1/2024,1,13,"8,706.57"
,1/1/2024,1,14,"8,906.32"
,1/1/2024,1,15,"9,021.28"
,1/1/2024,1,16,"8,982.96"
,1/1/2024,1,17,"8,886.59"
,1/1/2024,1,18,"8,843.63"
,1/1/2024,1,19,"8,878.80"
,1/1/2024,1,20,"9,025.80"
,1/1/2024,1,21,"9,254.87"
,1/1/2024,1,22,"9,722.36"
,1/1/2024,1,23,"9,719.17"
,1/1/2024,1,24,"9,296.98"
,1/2/2024,2,1,"9,007.06"
,1/2/2024,2,2,"8,669.24"
,1/2/2024,2,3,"8,397.91"
,1/2/2024,2,4,"8,233.25"
,1/2/2024,2,5,"8,281.98"
,1/2/2024,2,6,"8,427.15"
,1/2/2024,2,7,"8,561.73"
,1/2/2024,2,8,"8,809.07"
,1/2/2024,2,9,"9,309.63"
,1/2/2024,2,10,"9,912.05"
,1/2/2024,2,11,"10,351.41"
,1/2/2024,2,12,"10,614.02"
,1/2/2024,2,13,"10,740.45"
,1/2/2024,2,14,"10,965.52"
,1/2/2024,2,15,"11,164.68"
,1/2/2024,2,16,"11,243.42"
,1/2/2024,2,17,"11,231.73"
,1/2/2024,2,18,"11,004.99"
,1/2/2024,2,19,"10,722.25"
,1/2/2024,2,20,"10,637.53"
,1/2/2024,2,21,"10,639.13"
,1/2/2024,2,22,"10,949.16"
,1/2/2024,2,23,"10,838.56"
,1/2/2024,2,24,"10,118.80"
,1/3/2024,3,1,"9,920.64"
,1/3/2024,3,2,"9,427.08"
,1/3/2024,3,3,"9,167.52"
,1/3/2024,3,4,"8,997.83"
,1/3/2024,3,5,"8,899.78"
,1/3/2024,3,6,"8,976.32"
,1/3/2024,3,7,"9,117.15"
,1/3/2024,3,8,"9,245.40"
,1/3/2024,3,9,"9,777.51"
,1/3/2024,3,10,"10,290.13"
,1/3/2024,3,11,"10,598.29"
,1/3/2024,3,12,"10,832.93"
,1/3/2024,3,13,"10,993.80"
,1/3/2024,3,14,"11,276.97"
,1/3/2024,3,15,"11,462.07"
,1/3/2024,3,16,"11,521.90"
,1/3/2024,3,17,"11,463.83"
,1/3/2024,3,18,"11,156.62"
,1/3/2024,3,19,"10,800.01"
,1/3/2024,3,20,"10,672.44"
,1/3/2024,3,21,"10,644.52"
,1/3/2024,3,22,"10,978.99"
,1/3/2024,3,23,"10,780.13"
,1/3/2024,3,24,"9,952.66"
,1/4/2024,4,1,"9,830.11"
,1/4/2024,4,2,"9,408.80"
,1/4/2024,4,3,"9,178.77"
,1/4/2024,4,4,"9,023.90"
,1/4/2024,4,5,"8,994.28"
,1/4/2024,4,6,"9,041.80"
,1/4/2024,4,7,"9,158.73"
,1/4/2024,4,8,"9,249.63"
,1/4/2024,4,9,"9,706.43"
,1/4/2024,4,10,"10,289.75"
,1/4/2024,4,11,"10,638.14"
,1/4/2024,4,12,"10,840.84"
,1/4/2024,4,13,"10,972.79"
,1/4/2024,4,14,"11,136.11"
,1/4/2024,4,15,"11,384.34"
,1/4/2024,4,16,"11,486.62"
,1/4/2024,4,17,"11,446.21"
,1/4/2024,4,18,"11,179.89"
,1/4/2024,4,19,"10,839.32"
,1/4/2024,4,20,"10,721.28"
,1/4/2024,4,21,"10,657.78"
,1/4/2024,4,22,"10,912.74"
,1/4/2024,4,23,"10,770.15"
,1/4/2024,4,24,"10,426.71"
,1/5/2024,5,1,"9,832.31"
,1/5/2024,5,2,"9,380.22"
,1/5/2024,5,3,"9,112.58"
